p_id,hh_id,tu_id,bruttolohn_m,vermögen_hh,prv_krankenv,alter,hat_kinder,kind,selbstständig,eink_selbst_m,ges_rente_m,vermiet_eink_m,kapital_eink_m,prv_rente_beitr_m,wohnort_ost,jahr_renteneintr,betreuungskost_m,in_ausbildung,behinderungsgrad,arbeitsstunden_w,alleinerziehend
0,0,0,1500.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
1,0,0,1500.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
4,1,1,1550.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
5,1,1,1550.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
8,2,2,1600.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
9,2,2,1600.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
12,3,3,1650.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
13,3,3,1650.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
16,4,4,1700.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
17,4,4,1700.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
20,5,5,1750.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
21,5,5,1750.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
24,6,6,1800.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
25,6,6,1800.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
28,7,7,1850.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
29,7,7,1850.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
32,8,8,1900.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
33,8,8,1900.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
36,9,9,1950.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
37,9,9,1950.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
40,10,10,2000.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
41,10,10,2000.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
44,11,11,2050.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
45,11,11,2050.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
48,12,12,2100.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
49,12,12,2100.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
52,13,13,2150.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
53,13,13,2150.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
56,14,14,2200.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
57,14,14,2200.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
60,15,15,2250.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
61,15,15,2250.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
64,16,16,2300.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
65,16,16,2300.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
68,17,17,2350.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
69,17,17,2350.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
72,18,18,2400.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
73,18,18,2400.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
76,19,19,2450.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
77,19,19,2450.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
80,20,20,2500.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
81,20,20,2500.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
84,21,21,2550.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
85,21,21,2550.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
88,22,22,2600.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
89,22,22,2600.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
92,23,23,2650.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
93,23,23,2650.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
96,24,24,2700.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
97,24,24,2700.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
100,25,25,2750.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
101,25,25,2750.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
104,26,26,2800.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
105,26,26,2800.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
108,27,27,2850.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
109,27,27,2850.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
112,28,28,2900.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
113,28,28,2900.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
116,29,29,2950.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
117,29,29,2950.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
120,30,30,3000.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
121,30,30,3000.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
124,31,31,3050.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
125,31,31,3050.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
128,32,32,3100.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
129,32,32,3100.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
132,33,33,3150.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
133,33,33,3150.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
136,34,34,3200.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
137,34,34,3200.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
140,35,35,3250.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
141,35,35,3250.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
144,36,36,3300.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
145,36,36,3300.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
148,37,37,3350.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
149,37,37,3350.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
152,38,38,3400.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
153,38,38,3400.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
156,39,39,3450.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
157,39,39,3450.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
160,40,40,3500.0,0,False,50.0,True,False,False,0.0,0.0,0.0,0.0,0.0,False,2100.0,0.0,False,0.0,40.0,False
